school_name,alp_domain,alp_title,llp_domain1,llp_title1,llp_domain2,llp_title2
BOWEN SECONDARY SCHOOL,Business & Entrepreneurship,"Nurturing Creativity, Empathy and Enterprise through Social Entrepreneurship",Community & Youth Leadership,Bowen ChANgemakers Programme,na,na
BROADRICK SECONDARY SCHOOL,STEM,Broadrick Entrepreneurship in STEM,Community & Youth Leadership,"Confidence And REsilience (CARE) though Aesthetics, Community and Youth Leadership",na,na
BUKIT BATOK SECONDARY SCHOOL,STEM,Developing Proactive Problem-Solvers who care for our World through STEM,Community & Youth Leadership,Developing Community Youth Leadership through VIA - Journey to Become RESPECTful Leaders,na,na
BUKIT MERAH SECONDARY SCHOOL,STEM,Creative Robotics and Engineering,Sports & Outdoor Education,Character Development & Leadership through Sports,na,na
BUKIT VIEW SECONDARY SCHOOL,STEM,Clean Energy and Environmental Technology,Music & Performing Arts,"Learning the Arts, Living the Values",na,na
CANBERRA SECONDARY SCHOOL,Aesthetics,Digital Media in Visual Arts,Community & Youth Leadership,Active Holistic Health Advocates (AHHAs) Championing Efforts towards a Healthier Community,na,na
CHANGKAT CHANGI SECONDARY SCHOOL,STEM,Programme SOAR (Student centered Opportunities for AeRospace Industry),Community & Youth Leadership,Service and Leadership through School to Nation,na,na
CHIJ ST. JOSEPH'S CONVENT,Languages & Humanities,The Art of Communication through Theatre and Debates,Community & Youth Leadership,Buidling Critical and Creative Thinking through Future-Problem Solving,na,na
CHIJ ST. THERESA'S CONVENT,Interdisciplinary,Education For Life – Developing Portable Skills through and for Real World Problem Solving,Sports & Outdoor Education,"Developing Self-directed, Confident and Resilient Leaders, Learners and Ladies through Sports",na,na
CHRIST CHURCH SECONDARY SCHOOL,STEM,Developing 21st Century Competencies through an Inquiry approach  in Health Science and Technology,Sports & Outdoor Education,Developing Social Emotional Learning Competencies through Outdoor Adventure Learning,na,na
CHUA CHU KANG SECONDARY SCHOOL,STEM,Robotics & Automation for a Better Tomorrow,Community & Youth Leadership,Student Leadership,na,na
CHUNG CHENG HIGH SCHOOL (YISHUN),STEM,Food and Science Technology,Music & Performing Arts,Cultivating Values Through Aesthetics,na,na
CLEMENTI TOWN SECONDARY SCHOOL,STEM,CODE: COmputing to Discover and Empower,Community & Youth Leadership,Leadership Development through Uniformed Groups,na,na
COMPASSVALE SECONDARY SCHOOL,STEM,Aeronautics Applied Learning Programme,Community & Youth Leadership,Inspired North Stars Inspire Actions,na,na
DAMAI SECONDARY SCHOOL,STEM,Environmental & Health Sciences,Sports & Outdoor Education,"Character, Citizenship and Leadership Development through Water Sports",na,na
DEYI SECONDARY SCHOOL,Languages & Humanities,"Pen it down, Mike it up!",Music & Performing Arts,Nurturing Confident Communicators and Gracious Citizens through the Arts,na,na
DUNEARN SECONDARY SCHOOL,STEM,FSciTech: Developing Dunearnites as confident and creative young scientists through Food Science and Technology,Community & Youth Leadership,Every Dunearnite a Community Youth Leader,na,na
EAST SPRING SECONDARY SCHOOL,STEM,"Harnessing Energy to Live, Work and Play",Community & Youth Leadership,Every Student a Leader,na,na
EAST VIEW SECONDARY SCHOOL,STEM,21st Century Innovators through Health Science,Community & Youth Leadership,Community and Youth Leadership through Service,na,na
EDGEFIELD SECONDARY SCHOOL,Business & Entrepreneurship,Growing the Entrepreneurial Mindset (GEM),Sports & Outdoor Education,Character Education Through Sports (Anchored on Taekwondo),na,na
EVERGREEN SECONDARY SCHOOL,Languages & Humanities,"Developing Effective Communicators, Caring Leaders and Inventive Thinking through National Education",Sports & Outdoor Education,Strengthening Resilience and Character through Leadership and Sports Education,na,na
FAJAR SECONDARY SCHOOL,STEM,Sustainability through 21st Century Applied Critical and Inventive Thinking Skills (ACIT),Community & Youth Leadership,Rise to Lead,na,na
FUCHUN SECONDARY SCHOOL,STEM,Innovations in Science & Technology for Sustain-Ability,Music & Performing Arts,Values Through Dance,na,na
FUHUA SECONDARY SCHOOL,STEM,Forensic Science@Fuhua,Community & Youth Leadership,"Values in Action, Leadership through Service",na,na
GAN ENG SENG SCHOOL,STEM,GESS Probes Programme,Community & Youth Leadership,GESS LIFE Programme,na,na
GEYLANG METHODIST SCHOOL (SECONDARY),STEM,Environmental Science and Sustainable Living,Community & Youth Leadership,Nurturing Confident and Compassionate Leaders via Values-in-Action,na,na
GREENDALE SECONDARY SCHOOL,STEM,SMART Living: Design. Code. Build,Sports & Outdoor Education,Character Development through Outdoor and Adventure Education,na,na
GREENRIDGE SECONDARY SCHOOL,Languages & Humanities,The Use of Media in Engaging 21st Century Learners in the English Language Classroom -- Camera. Lights. Action. Programme (CLAP),Music & Performing Arts / Visual Arts & Design,"Developing Creative and Confident persons, impacting the community through the Arts",na,na
GUANGYANG SECONDARY SCHOOL,STEM,Environmental Science for Sustainable Living,Music & Performing Arts,heARTbeat -- Art for Life,na,na
HAI SING CATHOLIC SCHOOL,STEM,Applied Learning in Robotics and Engineering,Community & Youth Leadership,Developing Leadership Competencies in Every HaiSian,na,na
HILLGROVE SECONDARY SCHOOL,STEM,Broadening our Learning Horizons through Flight and Aerospace,Music & Performing Arts,Nurturing Confident and Passionate Hillgrovians through the Arts,na,na
HOLY INNOCENTS' HIGH SCHOOL,Languages,Journalism and Broadcasting -- Developing Critical Thinkers and Confident Communicators,Community & Youth Leadership,Good Samaritan Programme,na,na
HONG KAH SECONDARY SCHOOL,STEM,Real World Learning through Electronics,Sports & Outdoor Education,"Sports, Active LIving and Values Education (Sports A.L.I.V.E!)",na,na
HOUGANG SECONDARY SCHOOL,Languages & Humanities,English Communication Skills through Authentic Learning,Community & Youth Leadership,"GRC (Gratitude, Respect & Compassion) in Action, a Hougean way of life",na,na
HUA YI SECONDARY SCHOOL,STEM,Health Sciences: Healthcare technologies for the elderly,Community & Youth Leadership,Community and Youth Leadership in Hua Yi,na,na
JUNYUAN SECONDARY SCHOOL,STEM,Developing Application-based Learning through Food Science,Community & Youth Leadership,Cultivating Community Champions through Youth Leadership,na,na
JURONG SECONDARY SCHOOL,Languages & Humanities,Environmental Studies: An Inter-disciplinary Approach To Sustainable Urban Living,Sports & Outdoor Education,"Sporty at Heart, Sporting in Mind",na,na
JURONG WEST SECONDARY SCHOOL,Aesthetics,"Harnessing Technology, Communication and the Visual Arts in Authentic Contexts",Community & Youth Leadership,"Developing Character, Leadership and Citizenship",na,na
JURONGVILLE SECONDARY SCHOOL,STEM,In Heath We Thrive - Connecting the Science and Skills of Health and Wellness,Sports & Outdoor Education,"Sports for Life - Character Education through Sports Exposure, Sports Empowerment and Sports Excellence",na,na
JUYING SECONDARY SCHOOL,Languages & Humanities,Developing Confident & Competent Communicators through Oracy Skills Programme,Music & Performing Arts,"Performing Arts : “iACE@Juying” 
(I Appreciate, I Create, I Exhibit at Juying)",na,na
KENT RIDGE SECONDARY SCHOOL,STEM,Developing Computational Thinking through Robotics,Sports & Outdoor Education,EVOKE!@KR (Educational Values of Olympism at Kent Ridge) through Sports and Outdoor Education,na,na
KRANJI SECONDARY SCHOOL,Interdisciplinary,Nurturing Communities of Reflective and Independent Learners through Thinking Curriculum,Community & Youth Leadership,Nurturing a Leader in Every Kranjian through Community and Youth Leadership,na,na
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,Languages & Humanities,"Participate, Access/ Analyse, Create, Evaluate (P.A.C.E) in KCPSS Media Literacy Programme",Community & Youth Leadership,Every KCPian a Servant Leader,na,na
LOYANG VIEW SECONDARY SCHOOL,STEM,Design and Engineering,Sports & Outdoor Education,Sports and Outdoor Education,na,na
MANJUSRI SECONDARY SCHOOL,STEM,Building Smart Homes with a Big Heart,Music & Performing Arts,Learning through the ARTS,na,na
MARSILING SECONDARY SCHOOL,STEM,Eco-sustainability through Inquiry-Based Learning,Sports & Outdoor Education,Values and Character Building through Outdoor Curriculum (VALOUR),na,na
MAYFLOWER SECONDARY SCHOOL,Languages & Humanities,Developing confidence and curiosity through effective communication,Music & Performing Arts,Developing a zest for life through aesthetics,na,na
MERIDIAN SECONDARY SCHOOL,Aesthetics,Aesthetics,Community & Youth Leadership,Community and Youth Leadership,na,na
MONTFORT SECONDARY SCHOOL,STEM,"Made In Montfort – Design, Code, Make",Sports & Outdoor Education,Student Leadership through Outdoor Adventure & Sports,na,na
NAN CHIAU HIGH SCHOOL,STEM,Electronics in Health Sciences and Health Care Technology,Music & Performing Arts,"Enhancing Expression, Creativity and Aesthetics Appreciation (ECAA) through the ARTS (Drama, Puppetry and Creative Lyrics Composition)",na,na
NAVAL BASE SECONDARY SCHOOL,Aesthetics,Applied Learning in Art,Sports & Outdoor Education,"Character Education through Sports Awareness, Commitment and Empowerment (SpACE)",na,na
NEW TOWN SECONDARY SCHOOL,Aesthetics,Developing critical and inventive thinkers through visual communication,Community & Youth Leadership,"Developing Confident & Compassionate Student Leaders to Lead, Serve & Excel",na,na
NORTH VISTA SECONDARY SCHOOL,STEM,Investigative Science in Health & Sports,Visual Arts & Design,Nurturing Creative Problem Solvers through the Arts & Design,na,na
NORTHBROOKS SECONDARY SCHOOL,STEM,Northbrooks Aerospace Programme (Applied Learning In Aerospace),Sports & Outdoor Education,"Northbrooks Outdoor Education: Adventure, Character, Environment (A.C.E.) Programme",na,na
NORTHLAND SECONDARY SCHOOL,STEM,ALP Health Sciences - Healthy Lifestyle and Caring for Elderly,Sports & Outdoor Education,Game for Life – Developing Social Emotional Competencies through Sports and Physical Activities,na,na
ORCHID PARK SECONDARY SCHOOL,Aesthetics,ARTopIA - Arts Appreciation & Values Inculcation through Visual Art,Community & Youth Leadership,OPSS CORE Programme – Orchid Park Secondary School Community OutReach Education Programme,na,na
OUTRAM SECONDARY SCHOOL,Business & Entrepreneurship,Business and Enterprise,Sports & Outdoor Education,Sports for Life,na,na
PASIR RIS CREST SECONDARY SCHOOL,Languages & Humanities,Effective Communicators of the 21st Century,Music & Performing Arts,Nurturing Crestian Leaders of Tomorrow through Music and the Performing Arts,na,na
PASIR RIS SECONDARY SCHOOL,Humanities,Applied Learning in Humanities and Languages through Project DRIVE!,Music & Performing Arts,Learning for Life Programme in Music and Performing Arts through SHINE@PRSS,na,na
PEI HWA SECONDARY SCHOOL,STEM,"Robotics and Programming - Nurturing Leaders, Scholars and Altruists",Community & Youth Leadership,PRIDE of the Community: Developing Altruists,na,na
PEICAI SECONDARY SCHOOL,STEM,“We are what we eat; and what we do” – Knowing Better; Living Healthier; Transforming Lives,Community & Youth Leadership,Becoming Persons for Others – Leadership through and for the Community,na,na
PEIRCE SECONDARY SCHOOL,Languages,Broadcast Journalism,Community & Youth Leadership,Community & Youth Leadership,na,na
PING YI SECONDARY SCHOOL,STEM,Design Education and Aeronautical Engineering,Community & Youth Leadership,Leadership through CCE,na,na
PRESBYTERIAN HIGH SCHOOL,STEM,Forensic & Pharmaceutical Science,Community & Youth Leadership,Community Youth Leadership,na,na
PUNGGOL SECONDARY SCHOOL,STEM,Environment Education,Community & Youth Leadership,"Serving with values and good habits, developing the 21st century gentlemen/ ladies",na,na
QUEENSTOWN SECONDARY SCHOOL,Humanities,Minds for the Future – First Cultivating the Disciplined and Synthesising Mind,Community & Youth Leadership,Community & Youth Leadership,na,na
QUEENSWAY SECONDARY SCHOOL,STEM,Environmental Science Applied Learning Programme: Developing Confident Learners and Caring Citizens,Sports & Outdoor Education,Sports for Life & Outdoor Education Programme: Nurturing Responsible Citizens and Life-long Learners,na,na
REGENT SECONDARY SCHOOL,STEM,Engineering @ Regent,Community & Youth Leadership,"Empowering every Regenite to be a Responsible and Confident Leader, Committed to Excellence",na,na
RIVERSIDE SECONDARY SCHOOL,Languages & Humanities,Global Citizenship Education through Critical Social Inquiry,Music & Performing Arts / Visual Arts & Design,Arts for Life,na,na
SEMBAWANG SECONDARY SCHOOL,Languages & Humanities,Critical & Inventive Thinking (CIT) thru Media Literacy,Community & Youth Leadership,Developing Community Leaders through VIA and Outdoor Education,na,na
SENG KANG SECONDARY SCHOOL,STEM,Health Science & Technology,Sports & Outdoor Education,Building Character Through Physical Education & Sports,na,na
SERANGOON GARDEN SECONDARY SCHOOL,Humanities,Researching Society using Media Communication,Community & Youth Leadership,Nurturing Confident and Compassionate Leaders through Uniformed Groups,na,na
SERANGOON SECONDARY SCHOOL,STEM,Real-world Explorations in ICT,Community & Youth Leadership,Project Ablaze: Harnessing Student Leadership in the Service of Community,na,na
SHUQUN SECONDARY SCHOOL,STEM,Shuqun Computing for Applied Learning and Robotics (ScOAR),Sports & Outdoor Education,Sports and Outdoor Experiences foR Values Education (SERVE),na,na
SPRINGFIELD SECONDARY SCHOOL,STEM,Exploring Health Sciences through SP<sup>2</sup>A,Community & Youth Leadership,"GEARing Springfielders for Success - Grounding in Values, Engaged to Learn and Lead, Aspiring to Serve, Ready to Soar",na,na
ST. ANDREW'S SECONDARY SCHOOL,STEM,Saints Engineering Design Programme,Sports & Outdoor Education,Saints Rugby for Life,na,na
ST. GABRIEL'S SECONDARY SCHOOL,STEM,Project GaIA - Gabrielites Inspired for Aviation,Community & Youth Leadership,Developing Life Skills through Uniformed Groups Experience,na,na
ST. HILDA'S SECONDARY SCHOOL,Languages & Humanities,iTHink -- the HILDAN Approach to Learning the English Language,Sports & Outdoor Education,Develop the Whole Person through Sports and Outdoor Education,na,na
ST. PATRICK'S SCHOOL,STEM,Sports and Health Science,Music & Performing Arts,Music Development Programme,na,na
SWISS COTTAGE SECONDARY SCHOOL,STEM,Applied Sciences for Sustainable Development,Community & Youth Leadership,Swiss Thoughtful Leadership Programme,na,na
TAMPINES SECONDARY SCHOOL,STEM,Creative Engineering: Inter-disciplinary Authentic Problem Solving,Music & Performing Arts / Visual Arts & Design,Creative Expressions: Expressing creatively through visual and performing arts (Arts Education),na,na
TANGLIN SECONDARY SCHOOL,Languages & Humanities,Tanglin P.L.U.S. (Perspectives and Literacies to Understand Society),Music & Performing Arts / Visual Arts & Design,S3 through the Arts@Tanglin Secondary School (TSS),na,na
TECK WHYE SECONDARY SCHOOL,STEM,Re-designing the Future with Materials Science,Sports & Outdoor Education,"Sports and Sportsmanship Programme @ TWSS (Experience, Expose, Excel)",na,na
UNITY SECONDARY SCHOOL,STEM,Inspire through Scientific Innovation and Enterprise,Sports & Outdoor Education,Lead through Outdoor and Sporting Adventures,na,na
WEST SPRING SECONDARY SCHOOL,Languages & Humanities,Effective Communication and Critical Thinking through Media Literacy,Sports & Outdoor Education,"FOCUS (Finding, Optimising, Communicating, Understanding Sports)",na,na
WESTWOOD SECONDARY SCHOOL,Business & Entrepreneurship,Innovation & Social Entrepreneurship,Music & Performing Arts,Arts for Life (AfL),na,na
WHITLEY SECONDARY SCHOOL,Languages,Speech Communication Arts,Community & Youth Leadership,Active Citizenship for Social Change,na,na
WOODGROVE SECONDARY SCHOOL,STEM,Materials Science for Sustainable Living,Community & Youth Leadership,Learners and Leaders for Life,na,na
WOODLANDS RING SECONDARY SCHOOL,STEM,The Robotics Education & Enterprise (TREE),Community & Youth Leadership,Student Leadership Development through Involvement in the Community Programme,na,na
WOODLANDS SECONDARY SCHOOL,STEM,"Real Food, Real Science",Community & Youth Leadership,Active Glocal Citizens Programme,na,na
YIO CHU KANG SECONDARY SCHOOL,STEM,Developing inquiring minds and creative learners through Arduino,Music & Performing Arts,"Growing Character Leadership through Arts, Media and Design",na,na
YISHUN SECONDARY SCHOOL,Aesthetics,"Sonic Arts – Applied Learning in Music, Media and Technology",Community & Youth Leadership,Leadership for Life,na,na
YUAN CHING SECONDARY SCHOOL,STEM,Marine Architecture and Engineering,Sports & Outdoor Education,Dragonboat -- gRowing Values: Mastering Core Dragon Boating Skills and Embracing the Values it Embodies,na,na
YUHUA SECONDARY SCHOOL,Business & Entrepreneurship,Integrated Events and Project Management,Music & Performing Arts,"MELODY- Music Empowered Learners, Our Dynamic Yuhuans",na,na
YUSOF ISHAK SECONDARY SCHOOL,STEM,"Programme for Authentic Science, Technology and Environmental Learning",Music & Performing Arts / Visual Arts & Design,H2eArts in Tune Programme: History & Heritage through Arts & Music Programme,na,na
YUYING SECONDARY SCHOOL,Business & Entrepreneurship,Fostering  Inventive and  Critical Thinking through Design Thinking for Enterprising Learners,Community & Youth Leadership,Totally Wholesome Engaged and Empowered TeenS (TWEETS),na,na
ZHENGHUA SECONDARY SCHOOL,STEM,Game Design and Simulation and Robotics,Sports & Outdoor Education,Outdoor Education for Character & Leadership Development,na,na
CHIJ ST. NICHOLAS GIRLS' SCHOOL,na,na,Community Service & Student Leadership,A Leader in Every St Nicks Girl (Student Leadership),na,na
MARIS STELLA HIGH SCHOOL,na,na,Sports & Outdoor Education,The Marist Sports & Life Skills Experience,na,na
ADMIRALTY PRIMARY SCHOOL,na,na,Music & Performing Arts,Appreciating Diversity and Building Cross-Cultural Skills Programme,Community Service & Student Leadership,High Performance Mind-set for Personal Leadership
AHMAD IBRAHIM PRIMARY SCHOOL,Science,Sustainability Education – Nurturing Students to be Stewards of Our Environment,Community Service & Student Leadership,From Values to Action - Nurturing Community-Based Student Leaders,na,na
AI TONG SCHOOL,na,na,Music & Performing Arts,Caring through ARTS,Sports & Outdoor Education,Character and Leadership Development through Outdoor Education Programme
ALEXANDRA PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Cultural Intelligence (CQ) ? The Code of Life,na,na
ANCHOR GREEN PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Serve and Lead through Environmental Education,Music & Performing Arts/ Visual Arts & Design,"A.G.P.S Arts (Aspire, Grow, Passion and Serve through the Arts)"
ANDERSON PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Andersonians Living Actively through Values-based Experiences (ALIVE) Programme,Music & Performing Arts,Values Inculcation Via Arts and Creative Experiences (VIVACE) @ Anderson
ANGSANA PRIMARY SCHOOL,Coding,Nurturing Problem Solvers through Computational Thinking,Community Service & Student Leadership,Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes,na,na
ANG MO KIO PRIMARY SCHOOL,na,na,Community Service & Student Leadership,AMKP Leadership-Inspired Values Education (ALIVE),na,na
ANGLO-CHINESE SCHOOL (JUNIOR),Interdisciplinary,Creative Thinkers,Sports & Outdoor Education,"All for Sports, Sports for All @ ACS (Junior)",na,na
ANGLO-CHINESE SCHOOL (PRIMARY),na,na,Sports & Outdoor Education,Building Character Through Sports,Music & Performing Arts/ Visual Arts & Design,The Arts at ACS(P)
BALESTIER HILL PRIMARY SCHOOL,na,na,Sports & Outdoor Education,The ALTOS Experience @ BHPS (Active Learning Through Outdoor Activities and Sports at Balestier Hill Primary School),na,na
BEACON PRIMARY SCHOOL,Science,Stimulating Senses Through Science (S3),Community Service & Student Leadership,Beacons At Your Service,na,na
BEDOK GREEN PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Sports to Reinforce Values Education or STRIVE @ BGPS,na,na
BENDEMEER PRIMARY SCHOOL,na,na,Community Service & Student Leadership,"Developing Bendemeerians to be Confident Leaders, Rooted in Values",Music & Performing Arts,Bendemeer’s TEMPO (Towards Enhancement of Music and Performing Arts Opportunities)
BLANGAH RISE PRIMARY SCHOOL,na,na,Sports & Outdoor Education,"The RISE3 (Explore, Empower, Enrich) Outdoor Experience",na,na
BOON LAY GARDEN PRIMARY SCHOOL,Interdisciplinary,Thinking curriculum through Habits of Mind @ BLGPS - Developing Self-directed Learners,Community Service & Student Leadership,Environment Education at Boon Lay Garden Primary School,na,na
BUKIT PANJANG PRIMARY SCHOOL,na,na,Music & Performing Arts,i2 Can Dance!,na,na
BUKIT TIMAH PRIMARY SCHOOL,Interdisciplinary,Inquiry-based Learning Supported by Thinking Routines,Music & Performing Arts,Music for Everyone - Building Empathy and Resilience,na,na
BUKIT VIEW PRIMARY SCHOOL,Interdisciplinary,"Developing Thinkers, Collaborators and Communicators",Music & Performing Arts,Nurturing Values and Character through Aesthetics,na,na
CANBERRA PRIMARY SCHOOL,ICT & Media,"Start Young, Start It Right – Curating My Learning",Music & Performing Arts,Immersing in Canberra Experience through Musical Theatre Education,na,na
CANOSSA CONVENT PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Service Innovation Through Design Thinking,na,na
CANTONMENT PRIMARY SCHOOL,Interdisciplinary,TC@CPS,na,na,na,na
CASUARINA PRIMARY SCHOOL,Languages,The Art of Language,Music & Performing Arts,Holistic Education through the ARTS at Casuarina Primary School (HE’ARTS@CAPS),na,na
CATHOLIC HIGH SCHOOL,na,na,Sports & Outdoor Education,VITALS (Values Infused Through Active Learning in Sports),na,na
CEDAR PRIMARY SCHOOL,Interdisciplinary,Creative and Inventive Thinking (CIT) Programme,Community Service & Student Leadership,Upstanding Leaders@ Cedar Primary School,na,na
CHANGKAT PRIMARY SCHOOL,na,na,Sports & Outdoor Education,"Sports, Outdoor, Athletics & Recreation @ Changkat Primary",na,na
CHIJ (KATONG) PRIMARY,Languages,"Competent, Confident and Respectful Communicators",na,na,na,na
CHIJ (KELLOCK),na,na,Sports & Outdoor Education,"Net Infinity! Nurturing character, Inspiring passion and Unleashing giftedness through sports and outdoor education",Music & Performing Arts,ArtsONE+ : Purposeful Learning of Music and Performing Arts Using the Self-regulated Approach
CHIJ OUR LADY OF GOOD COUNSEL,Languages,Drama and Literary Arts for LifE! (D’LitE),Community Service & Student Leadership,The PROACTIVE Leader in Me Development Programme,na,na
CHIJ OUR LADY OF THE NATIVITY,Languages,"LEAPS (Learn, Engage, Articulate & Perform)",Sports & Outdoor Education,OLN SPARK (SPorts Active and Resilient Kids),na,na
CHIJ OUR LADY QUEEN OF PEACE,Science,Science and Environment Education @ OLQP (SEE @ OLQP),Sports & Outdoor Education,Character Lives In My Behaviour (CLIMB) Through Sports,na,na
CHIJ PRIMARY (TOA PAYOH),na,na,Music & Performing Arts,IJ Venture & Values Programme,Sports & Outdoor Education,IJSports
CHONGFU SCHOOL,na,na,Sports & Outdoor Education,Growing Character through Sports and Outdoor Education,na,na
CHONGZHENG PRIMARY SCHOOL,Innovation & Enterprise,EPIC -  Empowering Pupils to Innovate for Community,na,na,na,na
CHUA CHU KANG PRIMARY SCHOOL,Coding,Creative Problem Solving through Robotics,Community Service & Student Leadership,A Confident & Caring Leader - Leading Through C.A.R.E,na,na
CLEMENTI PRIMARY SCHOOL,na,na,Visual Arts & Design,Instilling Lifelong Learning Through Visual Arts,na,na
COMPASSVALE PRIMARY SCHOOL,Coding,Inculcating 21st Century Competencies Through Robotics in Math & Science Curriculum,Music & Performing Arts,Developing Aesthetics Appreciation  Through Music Empowerment,na,na
CONCORD PRIMARY SCHOOL,Interdisciplinary,"E3 Reasoning (Enable, Enrich and Empower) @ Concord",Sports & Outdoor Education,Outdoor Education@Concord,na,na
CORAL PRIMARY SCHOOL,na,na,Visual Arts & Design,Visual Art,na,na
CORPORATION PRIMARY SCHOOL,na,na,Music & Performing Arts,Creativity Through Dance,na,na
DA QIAO PRIMARY SCHOOL,na,na,Community Service & Student Leadership,"FLOURISH @ DQ: Developing Character Strengths, Resilience & Mindfulness through VIA",na,na
DAMAI PRIMARY SCHOOL,na,na,Music & Performing Arts,D'Aesthetics@Damai,Sports & Outdoor Education,Damai Champions of Character (D'COACH) Programme
DAZHONG PRIMARY SCHOOL,na,na,Music & Performing Arts,Developing 21st CC through Arts Education Programme @ Dazhong (AEP@D),na,na
DE LA SALLE SCHOOL,na,na,Community Service & Student Leadership,Positive Education@DLS: Nurturing Mindful Servant Leaders,na,na
EAST COAST PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Sports & Life Skills @ ECPS to foster 21st CC,Visual Arts & Design,Thinking ART @ ECPS
EAST SPRING PRIMARY SCHOOL,na,na,Sports & Outdoor Education,SPRING for Life – Developing Character through Sports,na,na
EAST VIEW PRIMARY SCHOOL,na,na,Music & Performing Arts,"Mind, Body and Soul",na,na
EDGEFIELD PRIMARY SCHOOL,na,na,Music & Performing Arts,Values Inculcation through the Aesthetics,Visual Arts & Design,21st Century Competencies through Visual Arts
ELIAS PARK PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Character In Action @ EPPS,Music & Performing Arts,Arts Creatively Expressed @ Elias - ACE@Elias
ENDEAVOUR PRIMARY SCHOOL,Interdisciplinary,Nurturing Thinkers through Knowledge Building Practices,Music & Performing Arts,Every Child A Performer (ECAP),na,na
EUNOS PRIMARY SCHOOL,na,na,Music & Performing Arts,Student Development in the Arts and through the Arts,na,na
EVERGREEN PRIMARY SCHOOL,na,na,Music & Performing Arts,Learning Through the Arts & Learning In the Arts,na,na
FAIRFIELD METHODIST SCHOOL (PRIMARY),Languages,SPEAK (School-wide Programme to Enhance Articulateness among Kids): Pathways to Oracy,na,na,na,na
FARRER PARK PRIMARY SCHOOL,Languages,Drama in Education (iDREaM),Community Service & Student Leadership,iCARE - Leaders of Tomorrow,na,na
FENGSHAN PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Anchored and Driven Leaders through Sports Excellence,na,na
FERNVALE PRIMARY SCHOOL,Science,Future Skills Programme,Community Service & Student Leadership,"Greenova - To nurture, innovative, responsible, young environmentalists who love and care for the environment",na,na
FIRST TOA PAYOH PRIMARY SCHOOL,na,na,Visual Arts & Design,FIRST Clicks – Literacy Through Photography (LTP),na,na
FRONTIER PRIMARY SCHOOL,Languages,Frontier’s Approach to Communicating Effectively,Music & Performing Arts,danceFRONT,na,na
FUCHUN PRIMARY SCHOOL,na,na,Music & Performing Arts,Aesthetically Responding To Shine (ARTS),na,na
FUHUA PRIMARY SCHOOL,Coding,Students As Designers for the 21st Century,Community Service & Student Leadership,Environmental Champions @ FHPS Programme,na,na
GAN ENG SENG PRIMARY SCHOOL,na,na,Music & Performing Arts,"Nurturing Aesthetics and Values Development in Children through Band, Choir and Performing Arts",na,na
